UnixTime	Latitude	Longitude	Altitude
1480704797	-78.247826	164.297379	39877.488281
1480704897	-78.251808	164.240402	39870.550781
1480704997	-78.255859	164.184357	39915.488281
1480705097	-78.259987	164.127350	39937.851562
1480705197	-78.263794	164.069107	39887.789062
1480705297	-78.267311	164.012650	39820.839844
1480705397	-78.270821	163.956177	39868.019531
1480705497	-78.274048	163.896545	39959.539062
1480705597	-78.277084	163.835938	39865.308594
1480705697	-78.280487	163.779999	39753.398438
1480705797	-78.283745	163.725052	39814.101562
1480705897	-78.286613	163.667114	39898.269531
1480705997	-78.289391	163.607208	39795.699219
1480706097	-78.292427	163.549637	39734.429688
1480706197	-78.295166	163.491348	39834.488281
1480706297	-78.297310	163.430466	39863.308594
1480706397	-78.299637	163.371399	39772.000000
1480706497	-78.302200	163.315765	39767.121094
1480706597	-78.304489	163.259735	39849.750000
1480706697	-78.306793	163.202133	39830.679688
1480706797	-78.309624	163.146194	39753.031250
1480706897	-78.312866	163.092041	39831.730469
1480706997	-78.316154	163.035339	39886.480469
1480707097	-78.319290	162.977798	39781.679688
1480707197	-78.322525	162.923035	39777.378906
1480707305	-78.326065	162.863159	39892.000000
1480707405	-78.329170	162.805801	39853.410156
1480707505	-78.332512	162.750183	39803.570312
1480707605	-78.336113	162.695190	39877.148438
1480707711	-78.339592	162.633636	39917.578125
1480707811	-78.342735	162.574829	39843.851562
1480707911	-78.346016	162.518478	39848.769531
1480708011	-78.348915	162.461197	39926.238281
1480708111	-78.351501	162.401001	39912.750000
1480708211	-78.354416	162.342010	39851.328125
1480708311	-78.357613	162.284943	39877.550781
1480708411	-78.360619	162.224655	39970.929688
1480708511	-78.363510	162.163010	39906.378906
1480708611	-78.366745	162.108353	39784.621094
1480708711	-78.370354	162.056992	39808.199219
1480708811	-78.374397	162.005295	39911.578125
1480708911	-78.378693	161.950897	39924.101562
1480709011	-78.382706	161.894379	39838.269531
1480709111	-78.386162	161.839081	39827.578125
1480709211	-78.389130	161.783463	39880.441406
1480709311	-78.392136	161.726624	39904.781250
1480709411	-78.395142	161.668015	39880.378906
1480709511	-78.398041	161.609283	39859.429688
1480709611	-78.400887	161.551834	39879.058594
1480709711	-78.403786	161.495529	39877.980469
1480709811	-78.406845	161.439713	39860.859375
1480709919	-78.410385	161.378387	39899.621094
1480710019	-78.413864	161.321793	39877.371094
1480710119	-78.417213	161.268402	39807.160156
1480710219	-78.420563	161.216507	39837.898438
1480710319	-78.424156	161.163315	39913.960938
1480710419	-78.427788	161.108383	39895.929688
1480710519	-78.431160	161.054825	39847.878906
1480710619	-78.434387	161.004105	39839.531250
1480710719	-78.437752	160.954178	39884.699219
1480710819	-78.441299	160.902649	39958.371094
1480710919	-78.444984	160.850296	39891.558594
1480711019	-78.448662	160.800339	39817.988281
1480711119	-78.452278	160.751389	39896.230469
1480711219	-78.456009	160.701172	39979.558594
1480711319	-78.459839	160.648895	39880.539062
1480711419	-78.463692	160.598221	39784.550781
1480711519	-78.467583	160.548584	39819.160156
1480711619	-78.471489	160.497177	39902.519531
1480711719	-78.475441	160.443283	39891.968750
1480711819	-78.479294	160.389618	39780.128906
1480711919	-78.482994	160.338684	39774.820312
1480712019	-78.486992	160.288330	39855.488281
1480712119	-78.491341	160.237885	39865.769531
1480712219	-78.495659	160.186417	39848.738281
1480712319	-78.500038	160.133331	39838.500000
1480712419	-78.504181	160.079758	39796.339844
1480712519	-78.507904	160.026367	39800.460938
1480712619	-78.511703	159.972351	39872.601562
1480712719	-78.515511	159.917740	39849.101562
1480712819	-78.519173	159.864426	39796.378906
1480712919	-78.522987	159.812302	39823.539062
1480713019	-78.527031	159.760468	39858.480469
1480713119	-78.531456	159.708282	39860.300781
1480713219	-78.536255	159.654938	39848.898438
1480713319	-78.540787	159.601593	39838.011719
1480713419	-78.544762	159.549896	39854.000000
1480713519	-78.548454	159.498749	39886.968750
1480713619	-78.552025	159.445877	39906.960938
1480713719	-78.555534	159.391907	39905.429688
1480713819	-78.559044	159.338531	39885.121094
1480713919	-78.562569	159.285294	39887.308594
1480714019	-78.566254	159.231430	39926.230469
1480714119	-78.569969	159.177139	39919.820312
1480714219	-78.573402	159.123322	39883.039062
1480714319	-78.576889	159.071320	39894.300781
1480714419	-78.580788	159.019547	39936.441406
1480714519	-78.584991	158.965927	39923.570312
1480714619	-78.589165	158.911728	39887.070312
1480714719	-78.593155	158.858505	39895.519531
1480714819	-78.597115	158.804886	39928.210938
1480714919	-78.600990	158.751694	39899.988281
1480715025	-78.604950	158.697357	39880.929688
1480715125	-78.608757	158.647324	39929.750000
1480715225	-78.612709	158.596542	39933.988281
1480715325	-78.616508	158.544434	39913.339844
1480715425	-78.620384	158.492157	39932.449219
1480715525	-78.624809	158.441238	39927.410156
1480715625	-78.629471	158.391541	39927.121094
1480715725	-78.633850	158.341995	39939.378906
1480715825	-78.637840	158.292404	39932.750000
1480715925	-78.641670	158.242645	39939.011719
1480716025	-78.645683	158.191849	39935.410156
1480716125	-78.649818	158.140320	39931.460938
1480716225	-78.653633	158.088959	39953.050781
1480716325	-78.657150	158.038162	39966.250000
1480716425	-78.660957	157.988297	39945.550781
1480716525	-78.665199	157.939163	39911.328125
1480716625	-78.669746	157.889938	39930.640625
1480716725	-78.674400	157.840500	39916.519531
1480716825	-78.678970	157.792068	39878.820312
1480716925	-78.683647	157.745438	39918.781250
1480717025	-78.688530	157.700409	39914.039062
1480717125	-78.693542	157.656540	39907.480469
1480717225	-78.698639	157.613037	39951.031250
1480717325	-78.703766	157.568680	39950.011719
1480717425	-78.709038	157.523071	39943.230469
1480717525	-78.714546	157.477417	39967.449219
1480717625	-78.719986	157.432175	39978.218750
1480717725	-78.725143	157.386810	39944.750000
1480717825	-78.730064	157.340607	39960.000000
1480717925	-78.735046	157.293381	39991.019531
1480718025	-78.739822	157.246460	39927.738281
1480718125	-78.743927	157.200165	39897.660156
1480718225	-78.747864	157.152374	39960.250000
1480718325	-78.752190	157.103546	39917.250000
1480718425	-78.756721	157.055847	39871.960938
1480718525	-78.761238	157.008911	39917.550781
1480718625	-78.765968	156.961578	39898.570312
1480718725	-78.770760	156.914169	39879.820312
1480718825	-78.775375	156.867065	39912.828125
1480718925	-78.779816	156.819870	39899.039062
1480719025	-78.783974	156.771820	39872.289062
1480719125	-78.788071	156.722946	39889.359375
1480719225	-78.792274	156.673676	39899.898438
1480719325	-78.796349	156.624191	39860.878906
1480719425	-78.800308	156.574341	39834.558594
1480719525	-78.804276	156.523849	39852.769531
1480719625	-78.808151	156.473022	39832.101562
1480719725	-78.811584	156.422287	39806.339844
1480719825	-78.814774	156.371445	39837.769531
1480719925	-78.818092	156.320969	39824.750000
1480720025	-78.821251	156.271255	39768.550781
1480720125	-78.824257	156.221573	39794.289062
1480720225	-78.827667	156.171265	39834.308594
1480720325	-78.831062	156.120544	39790.550781
1480720425	-78.833839	156.069427	39778.359375
1480720525	-78.836632	156.017227	39820.769531
1480720625	-78.839714	155.965332	39793.289062
1480720725	-78.842590	155.915070	39755.441406
1480720825	-78.845444	155.865677	39782.000000
1480720925	-78.848389	155.816559	39796.921875
1480721025	-78.851181	155.767990	39792.121094
1480721125	-78.853912	155.719559	39804.839844
1480721225	-78.856728	155.670853	39820.109375
1480721325	-78.859627	155.622208	39846.789062
1480721425	-78.862633	155.574631	39848.460938
1480721525	-78.865944	155.529236	39833.179688
1480721625	-78.869751	155.486221	39868.839844
1480721725	-78.873848	155.444519	39865.839844
1480721825	-78.877823	155.402878	39832.429688
1480721925	-78.881531	155.361252	39854.109375
1480722025	-78.885391	155.319458	39852.250000
1480722125	-78.889496	155.276901	39831.101562
1480722225	-78.893486	155.233597	39846.789062
1480722333	-78.897697	155.186340	39844.089844
1480722433	-78.901657	155.141510	39850.960938
1480722533	-78.905342	155.095306	39880.519531
1480722633	-78.908531	155.048370	39856.851562
1480722733	-78.911690	155.001724	39861.039062
1480722833	-78.915070	154.955185	39892.718750
1480722933	-78.918228	154.907578	39856.640625
1480723033	-78.920830	154.858688	39846.691406
1480723133	-78.923134	154.808731	39888.960938
1480723233	-78.925346	154.757446	39869.121094
1480723333	-78.927544	154.704773	39849.820312
1480723433	-78.929993	154.651794	39880.910156
1480723533	-78.932480	154.599319	39861.429688
1480723633	-78.934624	154.546936	39845.781250
1480723733	-78.936600	154.494598	39886.718750
1480723833	-78.938484	154.441757	39882.660156
1480723933	-78.940079	154.387375	39841.691406
1480724033	-78.941559	154.332184	39880.269531
1480724133	-78.943108	154.277313	39927.171875
1480724233	-78.944481	154.222336	39898.460938
1480724333	-78.945755	154.166626	39912.621094
1480724433	-78.947319	154.109818	39946.660156
1480724533	-78.949081	154.052368	39910.378906
1480724633	-78.950897	153.995285	39905.218750
1480724733	-78.952789	153.939438	39923.421875
1480724833	-78.954659	153.884201	39902.828125
1480724933	-78.956589	153.829117	39892.109375
1480725033	-78.958847	153.774963	39888.218750
1480725133	-78.961235	153.722214	39868.300781
1480725233	-78.963478	153.670258	39865.289062
1480725333	-78.965706	153.618500	39876.328125
1480725433	-78.967941	153.566132	39856.339844
1480725540	-78.970238	153.509415	39836.679688
1480725640	-78.972321	153.456955	39854.410156
1480725740	-78.974258	153.403778	39864.570312
1480725840	-78.975960	153.349152	39868.769531
1480725940	-78.977623	153.294235	39875.589844
1480726040	-78.979309	153.239471	39850.851562
1480726140	-78.981087	153.185120	39831.230469
1480726240	-78.983215	153.131241	39878.949219
1480726340	-78.985634	153.077164	39893.269531
